                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.56131,                0.84069,                 1.0474,                0.97951,                      1,                  0.995,                0.90371,                0.42516,                0.59987,                0.95016,               0.007756,               0.007756,               0.007756
                     36,                0.55883,                0.80162,                 1.0393,                0.98493,                      1,                  0.995,                0.89174,                0.39431,                0.55673,                 0.9277,                0.00769,                0.00769,                0.00769
                     37,                0.57828,                0.76847,                 1.0444,                 0.9758,                0.99891,                  0.995,                0.91488,                0.38901,                0.60024,                0.92501,               0.007624,               0.007624,               0.007624
                     38,                0.55216,                0.74293,                 1.0205,                0.99301,                      1,                  0.995,                 0.9217,                0.41853,                 0.5523,                0.93072,               0.007558,               0.007558,               0.007558
                     39,                0.54922,                0.74928,                 1.0371,                0.94487,                      1,                  0.995,                0.92528,                0.37937,                0.55355,                0.91245,               0.007492,               0.007492,               0.007492
                     40,                0.58573,                0.78748,                 1.0497,                0.94727,                0.95192,                0.98818,                0.90945,                0.37773,                0.54769,                0.90538,               0.007426,               0.007426,               0.007426
                     41,                0.56028,                0.73911,                 1.0181,                0.98432,                0.99827,                  0.995,                0.91111,                0.43614,                0.56066,                0.95729,                0.00736,                0.00736,                0.00736
                     42,                0.58163,                0.74967,                 1.0264,                0.89966,                0.88422,                0.84387,                0.76743,                 0.4283,                 1.4069,                0.95252,               0.007294,               0.007294,               0.007294
                     43,                0.52724,                0.74324,                0.99389,                0.96141,                      1,                  0.995,                0.90903,                0.39889,                0.49615,                  0.927,               0.007228,               0.007228,               0.007228
                     44,                0.54132,                0.66771,                 1.0092,                0.95322,                0.99388,                  0.995,                0.90138,                0.39863,                0.52346,                0.92612,               0.007162,               0.007162,               0.007162
                     45,                 0.5266,                0.69497,                 1.0305,                0.99373,                      1,                  0.995,                0.93211,                0.38172,                0.45892,                 0.9107,               0.007096,               0.007096,               0.007096
                     46,                 0.5473,                0.68857,                 1.0131,                0.99221,                      1,                  0.995,                0.93151,                0.35229,                0.48705,                0.90373,                0.00703,                0.00703,                0.00703
