                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 0.6732,                0.80504,                 1.1131,                0.87047,                0.63084,                0.71793,                0.64258,                0.47577,                 1.6311,                 1.0152,              0.0096733,              0.0096733,              0.0096733
                     35,                0.64655,                0.88712,                 1.0691,                0.71468,                  0.775,                0.77778,                0.71175,                 0.4512,                 1.2606,                 1.0078,              0.0096634,              0.0096634,              0.0096634
                     36,                0.62803,                0.86983,                 1.0567,                0.91482,                0.80309,                0.97132,                0.87528,                0.47442,                0.97735,                  1.038,              0.0096535,              0.0096535,              0.0096535
                     37,                0.62366,                0.86111,                 1.0822,                0.83299,                0.67659,                0.70701,                0.61319,                 0.5408,                  1.556,                 1.0615,              0.0096436,              0.0096436,              0.0096436
                     38,                0.64192,                0.83181,                 1.1091,                0.78836,                   0.75,                0.68178,                0.61666,                0.46209,                 1.6659,                0.98241,              0.0096337,              0.0096337,              0.0096337
                     39,                0.63431,                0.83312,                 1.0788,                0.55975,                0.62272,                0.46326,                0.40227,                0.62269,                 2.4421,                 1.1293,              0.0096238,              0.0096238,              0.0096238
                     40,                0.66104,                0.84972,                 1.0929,                0.85089,                0.70863,                0.78133,                0.68338,                0.57961,                 1.3513,                 1.0448,              0.0096139,              0.0096139,              0.0096139
                     41,                 0.6098,                0.80904,                 1.0703,                0.81356,                0.80944,                0.94099,                0.84319,                0.46926,                0.97001,                0.98958,               0.009604,               0.009604,               0.009604
                     42,                  0.594,                0.77296,                 1.0538,                0.68832,                    0.7,                0.71907,                0.63867,                0.47221,                  1.783,                 1.0028,              0.0095941,              0.0095941,              0.0095941
                     43,                0.63395,                0.79586,                 1.0593,                 0.9932,                      1,                  0.995,                0.91136,                0.44059,                0.45916,                0.97231,              0.0095842,              0.0095842,              0.0095842
                     44,                0.60721,                0.77842,                 1.0371,                0.96582,                0.96923,                  0.995,                0.90684,                0.46862,                0.58284,                0.98265,              0.0095743,              0.0095743,              0.0095743
                     45,                0.59005,                0.82632,                 1.0249,                0.98499,                0.95512,                  0.995,                0.90457,                0.44273,                0.53253,                0.96777,              0.0095644,              0.0095644,              0.0095644
                     46,                0.64952,                0.77834,                 1.0548,                0.95514,                0.99859,                  0.995,                0.85913,                0.52261,                0.52288,                 1.0062,              0.0095545,              0.0095545,              0.0095545
                     47,                0.58849,                0.79078,                 1.0588,                 0.9585,                0.97814,                  0.995,                0.88645,                0.46317,                 0.5641,                0.95852,              0.0095446,              0.0095446,              0.0095446
                     48,                0.60746,                0.71618,                  1.053,                0.98146,                      1,                  0.995,                0.88363,                0.47902,                0.51059,                0.97809,              0.0095347,              0.0095347,              0.0095347
                     49,                0.56825,                 0.6907,                 1.0285,                0.98155,                      1,                  0.995,                 0.9018,                0.45548,                 0.5601,                0.98835,              0.0095248,              0.0095248,              0.0095248
                     50,                0.60976,                0.70609,                 1.0537,                0.98774,                0.98137,                  0.995,                0.91096,                0.45373,                0.59029,                 1.0185,              0.0095149,              0.0095149,              0.0095149
                     51,                 0.5714,                0.68577,                 1.0273,                0.94965,                0.91903,                0.97682,                0.88724,                0.46038,                0.76634,                 1.0043,               0.009505,               0.009505,               0.009505
